USW00104,West Bnegal/Kolkata,2014-03-21,80,67,54
USW00105,West Bnegal/Kolkata,2014-03-22,77,69,61
USW00106,West Bnegal/Kolkata,2014-03-23,61,54,47
USW00107,West Bnegal/Kolkata,2014-03-24,66,58,50
USW00108,West Bnegal/Kolkata,2014-03-25,69,57,44
USW00109,West Bnegal/Kolkata,2014-03-26,66,60,54
USW00110,West Bnegal/Kolkata,2014-03-27,82,72,61
USW00111,West Bnegal/Kolkata,2014-03-28,89,76,63
USW00112,West Bnegal/Kolkata,2014-03-29,77,64,51
USW00113,West Bnegal/Kolkata,2014-03-30,79,62,45
USW00114,West Bnegal/Kolkata,2014-03-31,85,73,60
USW00115,West Bnegal/Kolkata,2014-04-01,86,76,66
USW00116,West Bnegal/Kolkata,2014-04-02,82,76,70
USW00117,West Bnegal/Kolkata,2014-04-03,82,77,71
USW00118,West Bnegal/Kolkata,2014-04-04,74,64,54
USW00119,West Bnegal/Kolkata,2014-04-05,65,60,54
USW00120,West Bnegal/Kolkata,2014-04-06,61,57,52
USW00121,West Bnegal/Kolkata,2014-04-07,72,62,52
USW00122,West Bnegal/Kolkata,2014-04-08,77,64,50
USW00123,West Bnegal/Kolkata,2014-04-09,84,65,45
USW00124,West Bnegal/Kolkata,2014-04-10,87,72,57
USW00125,West Bnegal/Kolkata,2014-04-11,85,73,61
USW00126,West Bnegal/Kolkata,2014-04-12,85,75,65
USW00127,West Bnegal/Kolkata,2014-04-13,78,73,68
USW00128,West Bnegal/Kolkata,2014-04-14,73,58,43
USW00129,West Bnegal/Kolkata,2014-04-15,65,52,39
USW00130,West Bnegal/Kolkata,2014-04-16,73,57,40
USW00131,West Bnegal/Kolkata,2014-04-17,67,62,56
USW00132,West Bnegal/Kolkata,2014-04-18,78,69,59
USW00133,West Bnegal/Kolkata,2014-04-19,78,66,54
USW00134,West Bnegal/Kolkata,2014-04-20,75,68,61
USW00135,West Bnegal/Kolkata,2014-04-21,84,74,64
USW00136,West Bnegal/Kolkata,2014-04-22,87,75,63
USW00137,West Bnegal/Kolkata,2014-04-23,87,73,59
USW00138,West Bnegal/Kolkata,2014-04-24,88,78,67
USW00139,West Bnegal/Kolkata,2014-04-25,88,76,63
USW00140,West Bnegal/Kolkata,2014-04-26,86,77,68
USW00141,West Bnegal/Kolkata,2014-04-27,96,85,73
USW00142,West Bnegal/Kolkata,2014-04-28,93,80,66
USW00143,West Bnegal/Kolkata,2014-04-29,84,72,60
USW00144,West Bnegal/Kolkata,2014-04-30,75,66,57
USW00145,West Bnegal/Kolkata,2014-05-01,77,65,52
USW00146,West Bnegal/Kolkata,2014-05-02,83,70,56
USW00147,West Bnegal/Kolkata,2014-05-03,94,76,58
USW00148,West Bnegal/Kolkata,2014-05-04,91,76,61
USW00149,West Bnegal/Kolkata,2014-05-05,92,76,60
USW00150,West Bnegal/Kolkata,2014-05-06,87,76,65
USW00151,West Bnegal/Kolkata,2014-05-07,88,79,70
USW00152,West Bnegal/Kolkata,2014-05-08,84,79,73
USW00153,West Bnegal/Kolkata,2014-05-09,86,76,66
USW00154,West Bnegal/Kolkata,2014-05-10,91,76,60
USW00155,West Bnegal/Kolkata,2014-05-11,93,83,72
USW00156,West Bnegal/Kolkata,2014-05-12,82,72,62
USW00157,West Bnegal/Kolkata,2014-05-13,67,61,55
USW00158,West Bnegal/Kolkata,2014-05-14,76,64,51
USW00159,West Bnegal/Kolkata,2014-05-15,84,65,46
USW00160,West Bnegal/Kolkata,2014-05-16,86,74,61
USW00161,West Bnegal/Kolkata,2014-05-17,86,73,60
USW00162,West Bnegal/Kolkata,2014-05-18,85,74,62
USW00163,West Bnegal/Kolkata,2014-05-19,86,76,66
USW00164,West Bnegal/Kolkata,2014-05-20,89,78,67
USW00165,West Bnegal/Kolkata,2014-05-21,89,80,70
USW00166,West Bnegal/Kolkata,2014-05-22,87,79,70
USW00167,West Bnegal/Kolkata,2014-05-23,84,78,71
USW00168,West Bnegal/Kolkata,2014-05-24,86,78,70
USW00169,West Bnegal/Kolkata,2014-05-25,87,80,72
USW00170,West Bnegal/Kolkata,2014-05-26,75,70,64
USW00171,West Bnegal/Kolkata,2014-05-27,73,68,63
USW00172,West Bnegal/Kolkata,2014-05-28,84,76,68
USW00173,West Bnegal/Kolkata,2014-05-29,89,78,66
USW00174,West Bnegal/Kolkata,2014-05-30,94,81,68
USW00175,West Bnegal/Kolkata,2014-05-31,93,82,70
USW00176,West Bnegal/Kolkata,2014-06-01,88,80,71
USW00177,West Bnegal/Kolkata,2014-06-02,91,83,74
USW00178,West Bnegal/Kolkata,2014-06-03,90,83,75
USW00179,West Bnegal/Kolkata,2014-06-04,91,83,74
USW00180,West Bnegal/Kolkata,2014-06-05,91,83,74
USW00181,West Bnegal/Kolkata,2014-06-06,92,83,73
USW00182,West Bnegal/Kolkata,2014-06-07,92,83,74
USW00183,West Bnegal/Kolkata,2014-06-08,90,83,76
USW00184,West Bnegal/Kolkata,2014-06-09,86,77,68
USW00185,West Bnegal/Kolkata,2014-06-10,92,78,64
USW00186,West Bnegal/Kolkata,2014-06-11,94,80,66
USW00187,West Bnegal/Kolkata,2014-06-12,92,80,68
USW00188,West Bnegal/Kolkata,2014-06-13,89,79,68
USW00189,West Bnegal/Kolkata,2014-06-14,87,92,73
USW00190,West Bnegal/Kolkata,2014-06-15,91,83,74
USW00191,West Bnegal/Kolkata,2014-06-16,92,84,75
USW00192,West Bnegal/Kolkata,2014-06-17,92,84,75
USW00193,West Bnegal/Kolkata,2014-06-18,92,85,77
USW00194,West Bnegal/Kolkata,2014-06-19,91,84,76
USW00195,West Bnegal/Kolkata,2014-06-20,91,83,75
USW00196,West Bnegal/Kolkata,2014-06-21,92,84,75
USW00197,West Bnegal/Kolkata,2014-06-22,90,83,76
